account_id,거래처명,사업자명,채널,업장타입,지역1,지역2,주소,위도,경도,담당자,거래상태,운영시간,월평균매출,중요도,메모
ACC001,청담 르블랑,르블랑다이닝(주),레스토랑,파인다이닝,서울,강남 청담,서울 강남구 도산대로99길 12,37.5240,127.0470,김영업,거래중,17:30~23:00,18000000,A,프렌치 파인다이닝·부르고뉴 글라스 강세
ACC002,성수 내추럴룸,내추럴룸,레스토랑,와인바,서울,성동 성수,서울 성동구 연무장길 45,37.5446,127.0560,이담당,거래중,18:00~01:00,7500000,B,내추럴·오렌지와인 중심 회전율 높음
ACC003,한남 비스트로 보네,보네에프앤비,레스토랑,비스트로,서울,용산 한남,서울 용산구 이태원로54길 8,37.5340,127.0010,김영업,거래중,11:30~22:00,9200000,B,런치 글라스 운영·합리적 가격대 선호
ACC004,여의도 더그릴,더그릴다이닝,레스토랑,양식 레스토랑,서울,영등포 여의도,서울 영등포구 국제금융로 10,37.5215,126.9244,박매니저,거래중,11:00~22:00,6400000,C,비즈니스 디너·미국/이탈리아 레드 선호
ACC005,분당 스시 하루,하루오마카세,레스토랑,오마카세,경기,성남 분당,경기 성남시 분당구 정자일로 95,37.3820,127.1190,이담당,거래중,12:00~22:00,5200000,B,샴페인·화이트 페어링 수요
ACC006,해운대 그랜드다이닝,그랜드호텔F&B,호텔,호텔,부산,해운대,부산 해운대구 우동 해운대해변로 264,35.1590,129.1600,정부산,거래중,06:30~23:00,11000000,A,샴페인/화이트 강세·호텔 다이닝
ACC007,역삼 한우상,한우상,레스토랑,한우 다이닝,서울,강남 역삼,서울 강남구 테헤란로 152,37.5000,127.0360,김영업,최근매출감소,16:00~23:00,8800000,A,나파 카베르네/보르도 블렌드 선호·최근 발주 감소
ACC008,판교 테이블015,테이블015,레스토랑,캐주얼 레스토랑,경기,성남 판교,경기 성남시 분당구 판교역로 235,37.4020,127.1080,박매니저,거래중,11:00~21:30,3100000,C,캐주얼·3~5만원대 회전율 품목 위주
ACC009,송도 보틀샵,송도보틀샵,소매,주류샵,인천,연수 송도,인천 연수구 컨벤시아대로 165,37.3890,126.6390,정부산,거래중,12:00~24:00,4300000,C,소매·다양한 국가 소비자 직접판매
ACC010,대전 미정와인바,확인필요,레스토랑,와인바,충청,대전,,,,박매니저,제안진행,확인필요,확인필요,D,주소·좌표 미확보(동선 제외 대상)·신규 제안 단계
