order_id,account_id,거래처명,product_id,브랜드명,와인명,빈티지,출고일,수량,공급가,매출액,담당자,채널,지역,메모
ORD001,ACC001,청담 르블랑,FRBO001,BOLLINGER,스페셜 꾸베 브뤼 논 빈티지,NV,2026-06-10,12,88000,1056000,김영업,레스토랑,서울,글라스 운영분
ORD002,ACC001,청담 르블랑,FRLC005,LAROCHE,샤블리 그랑크뤼 샤또 그르누이,2022,2026-06-10,6,197000,1182000,김영업,레스토랑,서울,바이더글라스 화이트
ORD003,ACC001,청담 르블랑,ILGJ010,GAJA,가야 바르바레스코,2019,2026-05-22,3,366000,1098000,김영업,레스토랑,서울,보틀 리스트
ORD004,ACC001,청담 르블랑,USBX015,OPUS ONE,오퍼스 원,2019,2026-04-18,2,739000,1478000,김영업,레스토랑,서울,프리미엄 셀러
ORD005,ACC002,성수 내추럴룸,CLTS064,TERRANOBLE,라 까우사 오렌지,2019,2026-06-15,12,35000,420000,이담당,레스토랑,서울,오렌지와인 글라스
ORD006,ACC002,성수 내추럴룸,USPW013,UNSHACKLED,언쉐클드 로제,2019,2026-06-15,6,49000,294000,이담당,레스토랑,서울,로제 회전 빠름
ORD007,ACC002,성수 내추럴룸,FRCD002,CLARENDELLE,클라랑델 로제,2022,2026-05-30,12,24000,288000,이담당,레스토랑,서울,여름 시즌
ORD008,ACC003,한남 비스트로 보네,FRLC002,LAROCHE,샤블리 1등급 바이용,2022,2026-06-12,6,99000,594000,김영업,레스토랑,서울,런치 글라스
ORD009,ACC003,한남 비스트로 보네,FRCD003,CLARENDELLE,클라랑델 블랑,2023,2026-06-12,12,35000,420000,김영업,레스토랑,서울,하우스 화이트
ORD010,ACC003,한남 비스트로 보네,ARCZ001,CATENA,까떼나 까베르네 소비뇽,2015,2026-05-08,12,26000,312000,김영업,레스토랑,서울,하우스 레드
ORD011,ACC004,여의도 더그릴,ILGJ018,GAJA,다그로미스 바롤로,2020,2026-06-05,6,182000,1092000,박매니저,레스토랑,서울,비즈니스 디너
ORD012,ACC004,여의도 더그릴,USMT006,MONTICELLO,몬티첼로 나파 밸리 샤도네이,2020,2026-05-25,6,99000,594000,박매니저,레스토랑,서울,화이트 보틀
ORD013,ACC005,분당 스시 하루,FRBO005,AYALA,라 꼬뜨 오 장팡,2019,2026-06-08,6,235000,1410000,이담당,레스토랑,경기,샴페인 페어링
ORD014,ACC005,분당 스시 하루,FRLC009,LAROCHE,샤블리 1등급 포숌,2022,2026-06-08,6,99000,594000,이담당,레스토랑,경기,화이트 페어링
ORD015,ACC006,해운대 그랜드다이닝,FRBO007,BOLLINGER,그랑 아네 로제,2015,2026-06-14,3,358000,1074000,정부산,호텔,부산,호텔 프리미엄 샴페인
ORD016,ACC006,해운대 그랜드다이닝,FRBO001,BOLLINGER,스페셜 꾸베 브뤼 논 빈티지,NV,2026-06-14,24,88000,2112000,정부산,호텔,부산,바이더글라스 대량
ORD017,ACC006,해운대 그랜드다이닝,FRLC005,LAROCHE,샤블리 그랑크뤼 샤또 그르누이,2022,2026-05-20,6,197000,1182000,정부산,호텔,부산,화이트 셀러
ORD018,ACC007,역삼 한우상,USBX015,OPUS ONE,오퍼스 원,2019,2026-01-15,2,739000,1478000,김영업,레스토랑,서울,VIP 셀러(6개월 미출고)
ORD019,ACC007,역삼 한우상,FRBX470,SAINT-ESTEPHE,샤또 꼬스 데스뚜르넬,2021,2025-12-20,3,497000,1491000,김영업,레스토랑,서울,보르도 그랑크뤼(미출고 주의)
ORD020,ACC008,판교 테이블015,ARCZ059,LA MARCHIGIANA,라 마르치지아나 샤르도네,2019,2026-06-18,12,34000,408000,박매니저,레스토랑,경기,하우스 화이트
ORD021,ACC008,판교 테이블015,ATRO032,DIAMOND LABEL,멀로 다이아몬드 라벨,2012,2026-06-18,12,31000,372000,박매니저,레스토랑,경기,하우스 레드
ORD022,ACC009,송도 보틀샵,NZVM020,VILLA MARIA,빌라마리아 테일러스 패스 소비뇽 블랑,2022,2026-06-16,24,59000,1416000,정부산,소매,인천,소매 인기 화이트
ORD023,ACC009,송도 보틀샵,PTTY004,TAYLORS,테일러 10 이어 올드 타우니,NV,2026-06-02,6,67000,402000,정부산,소매,인천,포트 디저트 수요
ORD024,ACC009,송도 보틀샵,CLBX004,SENA,세냐,2020,2026-03-10,2,334000,668000,정부산,소매,인천,프리미엄 칠레(3개월 전)
