pairing_id,account_id,거래처명,메뉴명,glass_type,가격,wine_order,와인명,생산자,국가,지역,품종,빈티지,수입사,신동와인제품여부,확인일,확인자,신뢰도,메모
PR001,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,1,스페셜 꾸베 브뤼 NV,Bollinger,프랑스,샹파뉴,샤르도네/피노누아,NV,신동와인,Y,2026-06-10,김영업,A,아뮤즈부쉬 샴페인
PR002,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,2,샤블리 그랑크뤼 그르누이,Laroche,프랑스,부르고뉴 샤블리,샤르도네,2022,신동와인,Y,2026-06-10,김영업,A,생선 코스
PR003,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,3,뫼르소 1er,확인필요,프랑스,부르고뉴,샤르도네,확인필요,나라셀라,N,2026-06-10,김영업,B,경쟁 수입사·신동 대체 검토
PR004,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,4,가야 바르바레스코,Gaja,이탈리아,피에몬테,네비올로,2019,신동와인,Y,2026-06-10,김영업,A,메인 레드
PR005,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,5,주브레 샹베르땅,확인필요,프랑스,부르고뉴,피노누아,확인필요,에노테카,N,2026-06-10,김영업,B,경쟁 수입사·신동 부르고뉴 대체 추천 대상
PR006,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,6,샤또 꼬스 데스뚜르넬,Saint-Estephe,프랑스,보르도,카베르네/메를로,2021,신동와인,Y,2026-06-10,김영업,A,치즈 코스
PR007,ACC001,청담 르블랑,디너 와인페어링,7 Glass,150000,7,토카이 에센시아,Royal Tokaji,헝가리,토카이,푸르민트,2009,신동와인,Y,2026-06-10,김영업,A,디저트
PR008,ACC002,성수 내추럴룸,내추럴 5잔,5 Glass,55000,1,펫낫 스파클링,확인필요,프랑스,루아르,슈냉블랑,확인필요,비노트로,N,2026-06-15,이담당,B,경쟁 수입사
PR009,ACC002,성수 내추럴룸,내추럴 5잔,5 Glass,55000,2,라 까우사 오렌지,TerraNoble,칠레,이타타,확인필요,2019,신동와인,Y,2026-06-15,이담당,A,오렌지와인
PR010,ACC002,성수 내추럴룸,내추럴 5잔,5 Glass,55000,3,내추럴 화이트,확인필요,이탈리아,확인필요,확인필요,확인필요,확인필요,N,2026-06-15,이담당,C,라벨만 확인·제품 매칭 필요
PR011,ACC002,성수 내추럴룸,내추럴 5잔,5 Glass,55000,4,언쉐클드 로제,Unshackled,미국,캘리포니아,확인필요,2019,신동와인,Y,2026-06-15,이담당,A,로제
PR012,ACC002,성수 내추럴룸,내추럴 5잔,5 Glass,55000,5,내추럴 레드,확인필요,프랑스,확인필요,확인필요,확인필요,확인필요,N,2026-04-20,이담당,C,60일 이상 미확인·재확인 필요
