region_id,대권역,세부지역,업장타입,선호국가,선호지역,선호스타일,선호품종,선호가격대,추천포트폴리오,데이터출처,신뢰도,담당자코멘트
REG001,수도권,서울 강남 청담,파인다이닝,프랑스,부르고뉴,화이트/미디엄레드,샤르도네/피노누아,12~20만원,부르고뉴·샴페인 프리미엄,영업사원 입력,C,청담 파인다이닝 부르고뉴 글라스 강세(샘플)
REG002,수도권,서울 성동 성수,와인바,프랑스/이탈리아,루아르/시칠리아,내추럴/오렌지/스파클링,슈냉블랑/그르나슈,5~8만원,내추럴·회전율 품목,와인리스트 수집,C,성수 내추럴와인 트렌드(샘플)
REG003,수도권,서울 용산 한남,비스트로,프랑스,보르도/론,미디엄레드/화이트,메를로/시라,5~8만원,합리적 글라스 라인업,영업사원 입력,C,런치 글라스 운영 수요(샘플)
REG004,수도권,서울 영등포 여의도,양식 레스토랑,미국/이탈리아,나파/토스카나,풀바디레드,카베르네/산지오베제,8~12만원,프리미엄 레드,추정/샘플,D,비즈니스 디너 추정(샘플)
REG005,수도권,경기 성남 분당,오마카세,프랑스,샹파뉴/부르고뉴,샴페인/화이트,샤르도네/피노누아,8~12만원,샴페인·화이트 페어링,영업사원 입력,C,오마카세 샴페인 페어링 수요(샘플)
REG006,경상,부산 해운대,호텔,프랑스,샹파뉴,샴페인/화이트,샤르도네,12~20만원,샴페인 프리미엄,영업사원 입력,C,호텔 다이닝 샴페인 강세(샘플)
REG007,수도권,서울 강남 역삼,한우 다이닝,미국,나파,풀바디레드,카베르네 소비뇽,20만원 이상,나파 카베르네·보르도 블렌드,추정/샘플,D,한우 오마카세 카베르네 선호 추정(샘플)
REG008,수도권,경기 성남 판교,캐주얼 레스토랑,칠레/아르헨티나,센트럴밸리/멘도사,라이트레드/화이트,말벡/샤르도네,3~5만원,회전율 합리가,추정/샘플,D,캐주얼 가성비 라인 추정(샘플)
REG009,수도권,인천 연수 송도,주류샵,뉴질랜드/포르투갈,말보로/도루,화이트/포트,소비뇽블랑,3~5만원,소매 인기 품목,영업사원 입력,C,소매 소비자 화이트 선호(샘플)
REG010,제주,제주시,비스트로,확인필요,확인필요,확인필요,확인필요,확인필요,데이터 업로드 필요,외부 조사 필요,D,데이터 미확보·조사 필요
